team,team_kr,advanced,n_situations,n_filtered,raw5,filt5,adj5,raw10,filt10,adj10,rawc,adjc,rawb,adjb,opp_visible,vis_launch,vis_wide,vis_center,raw5_rank,filt5_rank,adj5_rank,raw10_rank,adj10_rank,rawc_rank,adjc_rank,rawb_rank,adjb_rank
Iran,이란,False,563,311,0.4902,0.4277,-0.2436,0.9769,0.9453,-0.3796,0.5311,0.0352,0.3055,-0.059,7.5044,0.7881,0.6749,0.9253,1,1,1,1,1,16,22,14,5
Morocco,모로코,True,580,313,0.5655,0.5399,-0.1506,1.1793,1.2173,-0.1722,0.4276,-0.0406,0.3293,-0.0442,7.5707,0.8086,0.688,0.9482,2,2,2,3,4,5,12,18,8
Costa Rica,코스타리카,False,576,403,0.625,0.6576,-0.1403,1.2135,1.2705,-0.2289,0.3455,-0.1237,0.2882,-0.076,8.2153,0.8473,0.7528,0.9619,3,4,3,5,2,1,2,7,2
Wales,웨일스,False,745,558,0.6765,0.7043,-0.1173,1.3034,1.3763,-0.1792,0.5544,0.0061,0.2899,-0.0191,8.4483,0.8213,0.7143,0.9518,10,6,4,10,3,18,15,8,16
Portugal,포르투갈,True,1240,790,0.6532,0.6797,-0.114,1.3129,1.3975,-0.1054,0.5871,0.047,0.2976,-0.0281,7.9,0.792,0.6808,0.9295,5,5,5,11,9,23,24,11,15
Qatar,카타르,False,827,484,0.6264,0.6302,-0.1084,1.3132,1.3347,-0.0773,0.3628,-0.1018,0.3543,0.0255,7.6989,0.7899,0.6803,0.9196,4,3,6,12,12,2,3,25,26
Belgium,벨기에,False,1041,897,0.7454,0.7904,-0.1041,1.4486,1.5139,-0.1224,0.5552,-0.0582,0.4678,0.1873,9.0019,0.8484,0.746,0.9671,17,11,7,21,6,19,8,32,32
Serbia,세르비아,False,837,588,0.7073,0.7857,-0.0895,1.3524,1.5102,-0.1115,0.5197,-0.0744,0.3059,-0.0112,8.276,0.8139,0.6963,0.953,14,10,8,15,8,14,6,15,19
Denmark,덴마크,False,1177,636,0.6576,0.7531,-0.0712,1.2319,1.4025,-0.1024,0.5242,0.0212,0.3517,-0.002,7.4494,0.7532,0.6308,0.9025,7,7,9,6,10,15,18,23,20
Poland,폴란드,True,536,338,0.7034,0.8136,-0.0711,1.2724,1.4675,-0.1562,0.3731,-0.15,0.2929,-0.0377,7.9422,0.7996,0.6953,0.9239,13,14,10,8,5,3,1,9,11
Uruguay,우루과이,False,877,408,0.6568,0.8015,-0.044,1.1824,1.4216,-0.1161,0.5564,0.1043,0.3432,-0.013,6.9897,0.7445,0.6277,0.8836,6,12,11,4,7,20,31,21,18
Ghana,가나,False,715,435,0.7161,0.8092,-0.0346,1.2937,1.4621,-0.0903,0.5916,0.0907,0.2965,-0.0401,7.7762,0.7673,0.6586,0.9072,15,13,12,9,11,24,29,10,9
England,잉글랜드,True,1339,685,0.699,0.8438,-0.0238,1.3645,1.6277,0.0006,0.4526,-0.0192,0.3532,0.014,7.4705,0.7846,0.6712,0.9207,12,17,13,18,20,8,13,24,25
Tunisia,튀니지,False,734,317,0.6662,0.8707,-0.0167,1.2425,1.511,-0.0371,0.4319,0.0161,0.376,0.002,7.0477,0.7476,0.6295,0.892,9,21,14,7,15,6,16,28,22
South Korea,한국,True,861,256,0.6585,0.7773,-0.016,1.1382,1.2734,-0.0715,0.4576,0.0531,0.3798,-0.0291,6.1754,0.714,0.6124,0.838,8,8,15,2,13,10,25,29,14
Saudi Arabia,사우디,False,651,360,0.7435,0.8222,-0.0069,1.3564,1.4694,-0.0142,0.4608,-0.0566,0.341,0.0096,7.5392,0.7551,0.643,0.8933,16,15,16,17,17,11,9,20,23
Japan,일본,True,677,544,0.8316,0.8732,-0.0032,1.5982,1.7059,0.053,0.712,0.0904,0.229,-0.0467,8.6957,0.8364,0.728,0.9609,24,22,17,29,25,31,28,1,6
Mexico,멕시코,False,755,637,0.845,0.887,-0.0018,1.5444,1.6342,-0.0169,0.6477,0.0342,0.4358,0.1675,8.8901,0.8267,0.7253,0.9484,26,23,18,27,16,29,21,31,31
United States,미국,True,952,568,0.7542,0.8539,0.0009,1.4107,1.5511,0.0247,0.5672,0.0429,0.2689,-0.0653,7.7206,0.7716,0.6597,0.9142,19,18,19,20,22,21,23,6,4
France,프랑스,True,1350,931,0.7926,0.8969,0.0078,1.5,1.6187,0.0562,0.58,0.0229,0.3037,0.0117,8.1956,0.7677,0.6493,0.9099,22,24,20,22,26,22,19,13,24
Switzerland,스위스,True,831,555,0.7822,0.8649,0.0102,1.5247,1.7081,0.0986,0.4753,-0.0727,0.3333,-0.0013,8.1035,0.8006,0.6876,0.9437,21,20,21,24,28,12,7,19,21
Croatia,크로아티아,True,1131,674,0.7657,0.8591,0.0155,1.4005,1.5475,-0.0046,0.4536,-0.0439,0.3227,-0.0159,7.7533,0.8051,0.6998,0.9335,20,19,22,19,19,9,11,17,17
Ecuador,에콰도르,False,844,319,0.6777,0.7837,0.0216,1.3306,1.4326,0.0517,0.4372,0.0739,0.346,-0.0463,6.7382,0.8037,0.6958,0.9274,11,9,23,13,24,7,27,22,7
Netherlands,네덜란드,True,1228,924,0.8355,0.9123,0.0217,1.5252,1.6558,0.0092,0.6034,0.0188,0.2459,-0.0341,8.4137,0.826,0.7212,0.9472,25,26,24,25,21,26,17,3,13
Australia,호주,True,620,337,0.75,0.8368,0.0326,1.3371,1.4926,-0.008,0.3887,-0.0914,0.2984,-0.069,7.529,0.7887,0.674,0.9374,18,16,25,14,18,4,4,12,3
Cameroon,카메룬,False,658,419,0.7979,0.9093,0.035,1.3541,1.5179,-0.0551,0.5973,0.0668,0.2675,-0.0834,7.8495,0.808,0.7031,0.9426,23,25,26,16,14,25,26,5,1
Germany,독일,False,1240,735,0.8492,0.9878,0.0956,1.5927,1.7837,0.1927,0.6161,0.0923,0.3613,0.0403,7.6145,0.7861,0.674,0.9181,27,27,27,28,30,27,30,26,27
Canada,캐나다,False,950,545,0.8547,1.0312,0.1009,1.5084,1.7761,0.1175,0.5453,0.0327,0.3832,0.0473,7.6505,0.7844,0.6725,0.9143,28,28,28,23,29,17,20,30,29
Argentina,아르헨티나,True,1391,1256,1.0058,1.0486,0.1204,1.8116,1.8838,0.2065,0.6254,-0.0509,0.3681,0.0817,9.2171,0.8636,0.7647,0.9797,31,30,29,32,31,28,10,27,30
Senegal,세네갈,True,708,539,0.959,1.0538,0.1355,1.5353,1.6586,0.0342,0.7839,0.1565,0.2627,-0.0343,8.4138,0.8155,0.7043,0.9476,29,32,30,26,23,32,32,4,12
Brazil,브라질,True,1066,935,1.0141,1.0535,0.1369,1.666,1.7348,0.0708,0.6604,-0.0084,0.3161,0.0446,9.0675,0.8487,0.7463,0.9651,32,31,31,30,27,30,14,16,28
Spain,스페인,True,1990,1613,0.9739,1.0329,0.1552,1.7844,1.8927,0.2572,0.5045,-0.0877,0.2397,-0.0384,8.5819,0.831,0.7224,0.9558,30,29,32,31,32,13,5,2,10
