team,team_kr,round,round_name,advanced,volume,op_passes,density_raw5,density_raw10,density5,density10,density_center,density5_vc,density10_vc,def_line
Spain,스페인,1,16강,1,1990,2555,0.9739,1.7844,0.1552,0.2572,-0.0877,0.029,0.0212,84.7586
Brazil,브라질,2,8강,1,1066,1528,1.0141,1.666,0.1369,0.0708,-0.0084,0.1242,0.0471,88.5197
Senegal,세네갈,1,16강,1,708,1026,0.959,1.5353,0.1355,0.0342,0.1565,0.1782,0.1142,88.6126
Argentina,아르헨티나,4,결승,1,1391,1823,1.0058,1.8116,0.1204,0.2065,-0.0509,0.0751,0.1217,85.7405
Canada,캐나다,0,조별 탈락,0,950,1308,0.8547,1.5084,0.1009,0.1175,0.0327,0.1125,0.1392,83.4184
Germany,독일,0,조별 탈락,0,1240,1655,0.8492,1.5927,0.0956,0.1927,0.0923,0.0689,0.1427,86.0572
Cameroon,카메룬,0,조별 탈락,0,658,1001,0.7979,1.3541,0.035,-0.0551,0.0668,0.0806,0.0302,82.6327
Australia,호주,1,16강,1,620,909,0.75,1.3371,0.0326,-0.008,-0.0914,0.0883,0.0963,79.3183
Netherlands,네덜란드,2,8강,1,1228,1581,0.8355,1.5252,0.0217,0.0092,0.0188,0.0032,-0.0255,85.752
Ecuador,에콰도르,0,조별 탈락,0,844,1142,0.6777,1.3306,0.0216,0.0517,0.0739,0.0515,0.1078,75.8105
Croatia,크로아티아,3,4강,1,1131,1521,0.7657,1.4005,0.0155,-0.0046,-0.0439,0.0036,-0.0269,82.0848
Switzerland,스위스,1,16강,1,831,1230,0.7822,1.5247,0.0102,0.0986,-0.0727,0.0304,0.1365,82.0886
France,프랑스,4,결승,1,1350,1693,0.7926,1.5,0.0078,0.0562,0.0229,-0.0232,-0.0016,85.1004
United States,미국,1,16강,1,952,1317,0.7542,1.4107,0.0009,0.0247,0.0429,0.0115,0.0446,83.9288
Mexico,멕시코,0,조별 탈락,0,755,1110,0.845,1.5444,-0.0018,-0.0169,0.0342,0.0317,0.0459,86.0627
Japan,일본,1,16강,1,677,909,0.8316,1.5982,-0.0032,0.053,0.0904,0.0525,0.1573,86.305
Saudi Arabia,사우디,0,조별 탈락,0,651,913,0.7435,1.3564,-0.0069,-0.0142,-0.0566,0.0483,0.0893,85.2577
South Korea,한국,1,16강,1,861,1179,0.6585,1.1382,-0.016,-0.0715,0.0531,0.0099,-0.023,83.6967
Tunisia,튀니지,0,조별 탈락,0,734,1024,0.6662,1.2425,-0.0167,-0.0371,0.0161,0.0262,0.0434,78.3039
England,잉글랜드,2,8강,1,1339,1778,0.699,1.3645,-0.0238,0.0006,-0.0192,-0.0641,-0.0748,81.756
Ghana,가나,0,조별 탈락,0,715,993,0.7161,1.2937,-0.0346,-0.0903,0.0907,0.0118,-0.0034,82.3486
Uruguay,우루과이,0,조별 탈락,0,877,1153,0.6568,1.1824,-0.044,-0.1161,0.1043,-0.0152,-0.0623,82.7841
Poland,폴란드,1,16강,1,536,777,0.7034,1.2724,-0.0711,-0.1562,-0.15,-0.0008,-0.0246,82.0405
Denmark,덴마크,0,조별 탈락,0,1177,1608,0.6576,1.2319,-0.0712,-0.1024,0.0212,-0.0928,-0.1427,82.8853
Serbia,세르비아,0,조별 탈락,0,837,1218,0.7073,1.3524,-0.0895,-0.1115,-0.0744,-0.0679,-0.0711,84.8527
Belgium,벨기에,0,조별 탈락,0,1041,1592,0.7454,1.4486,-0.1041,-0.1224,-0.0582,-0.1239,-0.1593,82.9048
Qatar,카타르,0,조별 탈락,0,827,1147,0.6264,1.3132,-0.1084,-0.0773,-0.1018,-0.079,-0.0223,79.5891
Portugal,포르투갈,2,8강,1,1240,1638,0.6532,1.3129,-0.114,-0.1054,0.047,-0.1388,-0.1519,84.1212
Wales,웨일스,0,조별 탈락,0,745,1064,0.6765,1.3034,-0.1173,-0.1792,0.0061,-0.0787,-0.107,81.8739
Costa Rica,코스타리카,0,조별 탈락,0,576,861,0.625,1.2135,-0.1403,-0.2289,-0.1237,-0.0793,-0.1147,74.1253
Morocco,모로코,3,4강,1,580,906,0.5655,1.1793,-0.1506,-0.1722,-0.0406,-0.0945,-0.0673,77.3569
Iran,이란,0,조별 탈락,0,563,829,0.4902,0.9769,-0.2436,-0.3796,0.0352,-0.1791,-0.2588,81.4403
